Source_ID,Nom,Methode,URL,Pays_Defaut,Secteur_Defaut,Type_Defaut,Active,Derniere_Collecte,Statut
UNDP-MAU,PNUD - avis de marches - Mauritanie,RSS,https://procurement-notices.undp.org/rss_feeds/MAU.xml,Mauritanie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-NER,PNUD - avis de marches - Niger,RSS,https://procurement-notices.undp.org/rss_feeds/NER.xml,Niger,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 5 annonce(s)
UNDP-NIR,PNUD - avis de marches - Nigeria,RSS,https://procurement-notices.undp.org/rss_feeds/NIR.xml,Nigeria,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 6 annonce(s)
UNDP-SEN,PNUD - avis de marches - Senegal,RSS,https://procurement-notices.undp.org/rss_feeds/SEN.xml,Senegal,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 7 annonce(s)
UNDP-SIL,PNUD - avis de marches - Sierra Leone,RSS,https://procurement-notices.undp.org/rss_feeds/SIL.xml,Sierra Leone,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 3 annonce(s)
UNDP-TOG,PNUD - avis de marches - Togo,RSS,https://procurement-notices.undp.org/rss_feeds/TOG.xml,Togo,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 2 annonce(s)
UNDP-BDI,PNUD - avis de marches - Burundi,RSS,https://procurement-notices.undp.org/rss_feeds/BDI.xml,Burundi,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-CMR,PNUD - avis de marches - Cameroun,RSS,https://procurement-notices.undp.org/rss_feeds/CMR.xml,Cameroun,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-PRC,PNUD - avis de marches - Congo,RSS,https://procurement-notices.undp.org/rss_feeds/PRC.xml,Congo,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-GAB,PNUD - avis de marches - Gabon,RSS,https://procurement-notices.undp.org/rss_feeds/GAB.xml,Gabon,,Appel d'offres,NON,,Verifie le 2026-08-30 : 1 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-EQG,PNUD - avis de marches - Guinee equatoriale,RSS,https://procurement-notices.undp.org/rss_feeds/EQG.xml,Guinee equatoriale,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-ZAI,PNUD - avis de marches - RDC,RSS,https://procurement-notices.undp.org/rss_feeds/ZAI.xml,RDC,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-CAF,PNUD - avis de marches - Republique centrafricaine,RSS,https://procurement-notices.undp.org/rss_feeds/CAF.xml,Republique centrafricaine,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-STP,PNUD - avis de marches - Sao Tome-et-Principe,RSS,https://procurement-notices.undp.org/rss_feeds/STP.xml,Sao Tome-et-Principe,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-CHD,PNUD - avis de marches - Tchad,RSS,https://procurement-notices.undp.org/rss_feeds/CHD.xml,Tchad,,Appel d'offres,NON,,Verifie le 2026-08-30 : 8 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-COI,PNUD - avis de marches - Comores,RSS,https://procurement-notices.undp.org/rss_feeds/COI.xml,Comores,,Appel d'offres,NON,,Verifie le 2026-08-30 : 0 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-DJI,PNUD - avis de marches - Djibouti,RSS,https://procurement-notices.undp.org/rss_feeds/DJI.xml,Djibouti,,Appel d'offres,NON,,Verifie le 2026-08-30 : 1 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-ERI,PNUD - avis de marches - Erythree,RSS,https://procurement-notices.undp.org/rss_feeds/ERI.xml,Erythree,,Appel d'offres,NON,,Verifie le 2026-08-30 : 0 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-ETH,PNUD - avis de marches - Ethiopie,RSS,https://procurement-notices.undp.org/rss_feeds/ETH.xml,Ethiopie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 8 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-KEN,PNUD - avis de marches - Kenya,RSS,https://procurement-notices.undp.org/rss_feeds/KEN.xml,Kenya,,Appel d'offres,NON,,Verifie le 2026-08-30 : 0 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-MAG,PNUD - avis de marches - Madagascar,RSS,https://procurement-notices.undp.org/rss_feeds/MAG.xml,Madagascar,,Appel d'offres,NON,,Verifie le 2026-08-30 : 14 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-MAR,PNUD - avis de marches - Maurice,RSS,https://procurement-notices.undp.org/rss_feeds/MAR.xml,Maurice,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-UGA,PNUD - avis de marches - Ouganda,RSS,https://procurement-notices.undp.org/rss_feeds/UGA.xml,Ouganda,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-RWA,PNUD - avis de marches - Rwanda,RSS,https://procurement-notices.undp.org/rss_feeds/RWA.xml,Rwanda,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-SEY,PNUD - avis de marches - Seychelles,RSS,https://procurement-notices.undp.org/rss_feeds/SEY.xml,Seychelles,,Appel d'offres,NON,,Verifie le 2026-08-30 : 0 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-SOM,PNUD - avis de marches - Somalie,RSS,https://procurement-notices.undp.org/rss_feeds/SOM.xml,Somalie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-SUD,PNUD - avis de marches - Soudan,RSS,https://procurement-notices.undp.org/rss_feeds/SUD.xml,Soudan,,Appel d'offres,NON,,Verifie le 2026-08-30 : 1 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-SSD,PNUD - avis de marches - Soudan du Sud,RSS,https://procurement-notices.undp.org/rss_feeds/SSD.xml,Soudan du Sud,,Appel d'offres,NON,,Verifie le 2026-08-30 : 4 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-URT,PNUD - avis de marches - Tanzanie,RSS,https://procurement-notices.undp.org/rss_feeds/URT.xml,Tanzanie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-ALG,PNUD - avis de marches - Algerie,RSS,https://procurement-notices.undp.org/rss_feeds/ALG.xml,Algerie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-EGY,PNUD - avis de marches - Egypte,RSS,https://procurement-notices.undp.org/rss_feeds/EGY.xml,Egypte,,Appel d'offres,NON,,Verifie le 2026-08-30 : 2 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-LIB,PNUD - avis de marches - Libye,RSS,https://procurement-notices.undp.org/rss_feeds/LIB.xml,Libye,,Appel d'offres,NON,,Verifie le 2026-08-30 : 5 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-MOR,PNUD - avis de marches - Maroc,RSS,https://procurement-notices.undp.org/rss_feeds/MOR.xml,Maroc,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-TUN,PNUD - avis de marches - Tunisie,RSS,https://procurement-notices.undp.org/rss_feeds/TUN.xml,Tunisie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 21 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-SAF,PNUD - avis de marches - Afrique du Sud,RSS,https://procurement-notices.undp.org/rss_feeds/SAF.xml,Afrique du Sud,,Appel d'offres,NON,,Verifie le 2026-08-30 : 1 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-ANG,PNUD - avis de marches - Angola,RSS,https://procurement-notices.undp.org/rss_feeds/ANG.xml,Angola,,Appel d'offres,NON,,Verifie le 2026-08-30 : 0 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-BOT,PNUD - avis de marches - Botswana,RSS,https://procurement-notices.undp.org/rss_feeds/BOT.xml,Botswana,,Appel d'offres,NON,,Verifie le 2026-08-30 : 1 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-SWA,PNUD - avis de marches - Eswatini,RSS,https://procurement-notices.undp.org/rss_feeds/SWA.xml,Eswatini,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-LES,PNUD - avis de marches - Lesotho,RSS,https://procurement-notices.undp.org/rss_feeds/LES.xml,Lesotho,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-MLW,PNUD - avis de marches - Malawi,RSS,https://procurement-notices.undp.org/rss_feeds/MLW.xml,Malawi,,Appel d'offres,NON,,Verifie le 2026-08-30 : 1 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-MOZ,PNUD - avis de marches - Mozambique,RSS,https://procurement-notices.undp.org/rss_feeds/MOZ.xml,Mozambique,,Appel d'offres,NON,,Verifie le 2026-08-30 : 6 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-NAM,PNUD - avis de marches - Namibie,RSS,https://procurement-notices.undp.org/rss_feeds/NAM.xml,Namibie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 1 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-ZAM,PNUD - avis de marches - Zambie,RSS,https://procurement-notices.undp.org/rss_feeds/ZAM.xml,Zambie,,Appel d'offres,NON,,Verifie le 2026-08-30 : 3 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
UNDP-ZIM,PNUD - avis de marches - Zimbabwe,RSS,https://procurement-notices.undp.org/rss_feeds/ZIM.xml,Zimbabwe,,Appel d'offres,NON,,Verifie le 2026-08-30 : 4 annonce(s). Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche.
BJ-GOUV,Portail national du Benin - marches publics,HTML:gouv.bj,https://www.gouv.bj/opportunites/marches-publics/,Benin,,Appel d'offres,OUI,,"Verifie le 2026-08-30 : 32 annonces, 19 avec echeance. Collecte HTML (pas de RSS) : peut casser si le site change."
AFDB-NOTICES,"BAD - avis de marches (EOI, AMI, SPN, GPN)",HTML:afdb.org,https://www.afdb.org/en/documents/project-related-procurement,Afrique (multi-pays),,AMI,NON,,"Verifie le 2026-09-02 : HTTP 403, meme cause que AFDB-EOI - controle anti-robot Cloudflare sur tout www.afdb.org. L'extraction HTML est conservee telle quelle, elle lisait 11 avis le 2026-08-31 : seule l'entree du site est fermee. A consulter a la main en attendant."
WB-BEN,Banque mondiale - avis de marches des projets au Benin,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&project_ctry_name=Benin&rows=100&srt=noticedate&order=desc,Benin,,,OUI,,"Verifie le 2026-08-31 : 2562 avis Benin au total ; 31 remontes par collecte apres retrait des marches deja attribues. API JSON publique : acheteur, type et echeance structures."
ENABEL-BEN,Enabel - marches publics au Benin,HTML:enabel.be,https://www.enabel.be/public-procurement/?in_country=850&is_status=all,Benin,,Appel d'offres,OUI,,"Verifie le 2026-09-02 : 10 marches publies, 1 seul ouvert (2204BEN-10373, cloture le 02/09/2026). La page n'a pas change : c'est le filtre is_status=0 du site qui ne rend plus rien depuis le 2026-09-02, il rendait les 10 avis le 2026-08-31. On demande donc is_status=all et c'est l'analyseur qui ecarte les marches Close - il le faisait deja. NE PAS basculer sur la page francaise /fr/marches-publics/ : ses etiquettes sont traduites (Pays, Date de cloture) et l'analyseur lit Country et Closing date."
ARMP-BJ,ARMP Benin - appels d'offres et AMI,HTML:armp.bj,https://armp.bj/category/actualites/appels-doffres/,Benin,Gouvernance et institutions,AMI,NON,,"Verifie le 2026-08-31 : 9 avis, le plus recent du 02/03/2026. L'ARMP publie 1 a 2 avis par an : inactive par defaut pour ne pas encombrer."
BJ-SBEE,SBEE - portail des marches (electricite),HTML:sbee.bj,https://marches-publics.sbee.bj/,Benin,Energie,Appel d'offres,OUI,,"Verifie le 2026-08-31 : 8 avis, tous dates. La source beninoise la plus complete : reference, type de marche, publication et date limite en clair."
BJ-SONEB,SONEB - marches publics (eau),HTML:soneb.bj,https://web.soneb.bj/marches-publics,Benin,Eau et assainissement,Appel d'offres,OUI,,"Verifie le 2026-08-31 : 30 avis, tous avec date de publication et de cloture. Table Drupal stable."
BJ-ABE,ABE - appels d'offres (environnement),HTML:abe.bj,https://www.abe.bj/appels-doffres/,Benin,Environnement et climat,Appel d'offres,OUI,,"Verifie le 2026-08-31 : 9 avis en premiere page (22 au total), 7 avec echeance. Les avis echus ne sont pas ecartes : l'ABE n'offre aucun filtre d'URL."
ARAA-CEDEAO,ARAA - marches (agriculture CEDEAO),HTML:araa.org,https://www.araa.org/fr/marches,Afrique de l'Ouest,Agriculture et agroalimentaire,Appel d'offres,OUI,,"Verifie le 2026-08-31 : 12 avis, tous avec echeance ISO. Attention : l'adresse /fr/opportunites renvoie 404, la liste est sur /fr/marches."
BCEAO-MP,BCEAO - marches publics UMOA,HTML:bceao.int,https://www.bceao.int/fr/appels-offres/appels-offres-marches-publics-achats,Afrique de l'Ouest,,Appel d'offres,OUI,,"Verifie le 2026-08-31 : 20 avis, tous dates. Couvre les huit pays de l'UMOA, pas seulement le Benin."
BJ-MCA,MCA-Benin Regional - actualites et avis,RSS,https://mcabeninreg.bj/feed/,Benin,Infrastructures et BTP,Appel d'offres,NON,,"Verifie le 2026-08-31 : flux MIXTE - 1 avis de marche sur 10 items, le reste est de l'actualite. Inactive par defaut : a activer pour la veille projet."
BJ-DEDRAS,DEDRAS-ONG - portail e-procurement,HTML:dedras.org,https://eprocurement.dedras.org/toutvoir,Benin,,Demande de cotation,OUI,,"Verifie le 2026-08-31 : 98 avis, tous avec type, date de publication et limite de depot. ONG locale : demandes de cotation et AMI que les grands agregateurs ne couvrent pas."
AFD-APPELS,AFD - appels a projets,HTML:afd.fr,https://www.afd.fr/fr/appels-a-projets/liste?status%5Bongoing%5D=ongoing&status%5Bsoon%5D=soon,International,,Appel a projets,OUI,,Verifie le 2026-08-31 : 2 appels ouverts. Volume faible mais bailleur majeur. Les deux dates sont donnees ensemble (ouverture - cloture).
TERRAVIVA,Terra Viva Grants - financements environnement,RSS,https://www.terravivagrants.org/feed/,International,Environnement et climat,Subvention,OUI,,"Verifie le 2026-08-31 : 10 items a jour (aout 2026), vrais appels a financement. Agriculture, climat, energie, biodiversite."
OPP-AFRICANS,Opportunities For Africans - bourses et programmes,RSS,https://www.opportunitiesforafricans.com/feed/,Afrique (multi-pays),Education et formation,Bourse,OUI,,"Verifie le 2026-08-31 : 10 items a jour. Bourses et fellowships destines a des PERSONNES, pas a des structures : type Bourse."
WB-TGO,Banque mondiale - avis de marches au Togo,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Togo,Togo,,,OUI,,"Verifie le 2026-09-01 : 0 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-SEN,Banque mondiale - avis de marches au Senegal,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Senegal,Senegal,,,OUI,,"Verifie le 2026-09-01 : 1 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-CIV,Banque mondiale - avis de marches au Cote d'Ivoire,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Cote%20d%27Ivoire,Cote d'Ivoire,,,OUI,,"Verifie le 2026-09-01 : 2 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-BFA,Banque mondiale - avis de marches au Burkina Faso,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Burkina%20Faso,Burkina Faso,,,OUI,,"Verifie le 2026-09-01 : 4 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-MLI,Banque mondiale - avis de marches au Mali,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Mali,Mali,,,OUI,,"Verifie le 2026-09-01 : 0 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-NER,Banque mondiale - avis de marches au Niger,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Niger,Niger,,,OUI,,"Verifie le 2026-09-01 : 15 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-GHA,Banque mondiale - avis de marches au Ghana,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Ghana,Ghana,,,OUI,,"Verifie le 2026-09-01 : 6 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-NGA,Banque mondiale - avis de marches au Nigeria,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Nigeria,Nigeria,,,OUI,,"Verifie le 2026-09-01 : 14 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-GIN,Banque mondiale - avis de marches au Guinee,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Guinea,Guinee,,,OUI,,"Verifie le 2026-09-01 : 7 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-GNB,Banque mondiale - avis de marches au Guinee-Bissau,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Guinea-Bissau,Guinee-Bissau,,,OUI,,"Verifie le 2026-09-01 : 1 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-CPV,Banque mondiale - avis de marches au Cap-Vert,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Cabo%20Verde,Cap-Vert,,,OUI,,"Verifie le 2026-09-01 : 2 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-GMB,Banque mondiale - avis de marches au Gambie,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Gambia%2C%20The,Gambie,,,OUI,,"Verifie le 2026-09-01 : 0 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-LBR,Banque mondiale - avis de marches au Liberia,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Liberia,Liberia,,,OUI,,"Verifie le 2026-09-01 : 3 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-SLE,Banque mondiale - avis de marches au Sierra Leone,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Sierra%20Leone,Sierra Leone,,,OUI,,"Verifie le 2026-09-01 : 5 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre."
WB-MRT,Banque mondiale - avis de marches au Mauritanie,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Mauritania,Mauritanie,,,NON,,"Verifie le 2026-09-01 : 1 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre. Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche."
WB-TCD,Banque mondiale - avis de marches au Tchad,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Chad,Tchad,,,NON,,"Verifie le 2026-09-01 : 7 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre. Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche."
WB-CMR,Banque mondiale - avis de marches au Cameroun,JSON:worldbank.org,https://search.worldbank.org/api/v2/procnotices?format=json&rows=100&srt=noticedate&order=desc&project_ctry_name=Cameroon,Cameroun,,,NON,,"Verifie le 2026-09-01 : 0 avis encore ouverts. Meme adaptateur que WB-BEN, filtre sur le pays. Le volume ouvert varie fortement d'un mois a l'autre. Livree inactive : hors zone CEDEAO. Activez-la si vous prospectez ce marche."
OTF-GRANTS,Open Technology Fund - RFP et subventions tech,RSS,https://www.opentech.fund/feed,International,Numerique et technologie,Subvention,OUI,,"Verifie le 2026-09-01 : feed RSS actif avec RFP (Request for Proposals) et subventions tech. Thematiques : Internet freedom, censure numerique, securite. Flux fiable, mises a jour regulieres."
TEF-GRANTS,Tony Elumelu Foundation - programme entrepreneuriat,RSS,https://www.tonyelumelufoundation.org/feed,Afrique (multi-pays),Entrepreneuriat et PME,Subvention,NON,,"Verifie le 2026-09-02 par collecte reelle : 0 sur 10 items sont de vraies opportunites. Portraits d entrepreneurs, pas d appels. Le programme TEF s ouvre une fois par an et s annonce ailleurs. Flux d ACTUALITES : inactive pour ne pas diluer la veille. Le client peut la reactiver."
